ID,Name,School
526334,Ethan Smith,Denison
526334,Ethan Smith,California Lutheran University
526334,Ethan Smith,Ouachita Baptist University
526334,Ethan Smith,University of Utah
526334,Ethan Smith,Long Island University
528704,Emily Greene,Pennsylvania Western-California
532856,Lia Campbell,U.S. Air Force Academy
532856,Lia Campbell,U.S. Air Force Academy
541571,Olivia Hawkins,Norwich
541733,Taylor Williams,Florida Gulf Coast University
541733,Taylor Williams,Arizona St
542214,Hailey Williams,Drew
542901,Jacob Berkheimer,Missouri State University
542901,Jacob Berkheimer,Missouri State University
545685,Mason Kennedy,Messiah University
547474,Colin Martin,Iona University
547803,Erin Butler,Findlay
551049,Claire Russell,Bryant University
551049,Claire Russell,Bryant University
551548,Brady Monson,Augustana College
551548,Brady Monson,Augustana College
553123,Charlie Clark,University of Wyoming
553123,Charlie Clark,Boston College
553123,Charlie Clark,University of Wyoming
553366,Landon Clark,Xavier University
555201,Andrew Columbus,Indiana University-Indianapolis
558182,Parker Brown,Olivet Nazarene University
559616,Liam Murphy,Ithaca
566199,Emma Hall,Middlebury College
567322,Logan Davis,Manchester
574779,Emma Warner,Saint Francis University (Pennsylvania)
575796,Ashley Calderon,Central Conn St
577029,Nathan Moore,University of Texas
580808,Chris Morris,University of Minnesota
580808,Chris Morris,Wisconsin
593922,Julia Cook,Oakland University
594460,Katie Rock,Kalamazoo
598156,Grace Rauker,University of Wisconsin-Green Bay
598156,Grace Rauker,Saint Cloud State University
601890,Logan Marks,Washington & Jefferson College
601890,Logan Marks,Bethany
601986,Zach Bennett,Gardner-Webb University
601986,Zach Bennett,University of Lynchburg
606098,Peter Thompson,Pacific Lutheran University
607988,Grant Davis,University of Lynchburg
608415,Aidan Wilson,Kings College (Pennsylvania)
608415,Aidan Wilson,Hendrix College
608430,Alex Johnson,Grinnell College
608430,Alex Johnson,Claremont McKenna-Harvey Mudd-Scripps Colleges
608430,Alex Johnson,West Chester University
611515,Anya Pelshaw,John Carroll University
611671,Connor Hunt,Bloomsburg
614302,Emma Burke,Bates
616800,Adrianna Barone,Florida Int'l
618361,Jonathan Bennett,West Virginia University
618361,Jonathan Bennett,William & Mary
619393,Jack Engel,Dickinson
620039,Ava Snyder,Maine Maritime
620206,Caroline Mahoney,Holy Cross
620211,Caraline Baker,Bellarmine
622431,Austin Smith,South Dakota State University
622431,Austin Smith,University of Evansville
622431,Austin Smith,University of Evansville
622431,Austin Smith,Elizabethtown
629612,Drew MacDonald,Bowdoin
630874,Matthew Fernandez,University of Illinois at Chicago
630874,Matthew Fernandez,University of Illinois at Chicago
631810,Grace Anderson,Lewis and Clark College
635415,Hannah Jones,Gustavus
635415,Hannah Jones,Delta State
635415,Hannah Jones,Ball State
635493,John Sullivan,Gordon College (MA)
641612,Madeline Smith,Vanderbilt University
641612,Madeline Smith,UCLA
645351,Emma Lee,Amherst
645351,Emma Lee,University of Rhode Island
648503,Brady Samuels,Purdue University
661005,Aidan Smith,Whitworth
661616,Mia Zahab,Florida Int'l
675125,Laetitia Bouc,St Francis College Brooklyn (New York)
675385,Gavin Smith,Linfield University
677919,Rachel Baker,University of Wisconsin-Eau Claire
679056,Elliot Anderson,Rose-Hulman Institute of Technology
683852,Patrick Sammon,University of Texas
684852,Sam Brown,University of Missouri
685005,Sara Strauss,Valparaiso University
685005,Sara Strauss,Valparaiso University
687103,Nathan Ober,Husson
688072,Taylor Steele,Incarnate Word
690555,Jack Higgins,U.S. Merchant Marine Academy
692009,Maggie McGuire,Franklin College
692009,Maggie McGuire,Auburn University
697725,David Schlicht,University of Arizona
697725,David Schlicht,Arizona St
698222,Andrew Holmes,Bloomsburg
701079,Daniel Jablonski,New Jersey Institute of Technology
706198,Fiona Rosko,Saint Benedict
709938,Rachel Flaherty,Sacred Heart University
709938,Rachel Flaherty,Alfred
711932,Andrew Benson,Biola University
711932,Andrew Benson,Lebanon Valley
713812,Zachary Martin,Lewis and Clark College
724033,Austin Simpson,University of Tampa
725042,Lily Wong,Colby
726331,Audrey Jacobs,West Chester University
739096,Lauren Meyer,Rose-Hulman Institute of Technology
752180,Eric Liu,Rensselaer Polytechnic Institute
757328,Jenna Pearse,St Francis College Brooklyn (New York)
774386,Delaney Burns,Massachusetts Institute of Technology
774581,Anna Curran,Brooklyn
774581,Anna Curran,State Maritime University of New York
776072,Max Chen,California Institute of Technology
776072,Max Chen,Johns Hopkins
787169,Ellie Parker,Macalester College
790900,Morgan Jones,Indiana University-Indianapolis
794548,Colin Leonard,Hartwick College
813110,Anna Lee,Wheaton College (Illinois)
813110,Anna Lee,UC Davis
815775,Gustav Persson,Bryant University
815775,Gustav Persson,SIUC (M)
836753,Andrew Smith,Gannon
836753,Andrew Smith,Alma College
843583,Haley Angelo,Missouri State University
843583,Haley Angelo,Missouri State University
844967,Jasmine Nocentini,Florida Int'l
845047,Sarah Johnson,Mars Hill
847211,Alexander Johnson,Stevens Institute
854571,Cameron Green,Indiana University-Indianapolis
862997,Maddie Myers,West Chester
862997,Maddie Myers,Gannon
863257,Lily Davis,State University of New York at Brockport
869114,Chris Richardson,Georgia Institute of Technology
877003,Brandon Bell,University of Montevallo
878604,Jonathan Taylor,Calvin
892351,Emily Fox,Washington University (Missouri)
892642,Jackson Dircks,Augustana College
892642,Jackson Dircks,Augustana College
893664,Joshua Kim,Princeton
893664,Joshua Kim,Babson
921361,Carter Anderson,Williams
921361,Carter Anderson,SIUC (M)
921361,Carter Anderson,University of South Dakota
926963,Mason Beck,Widener University
926963,Mason Beck,John Carroll University
927261,Aidan Scott,Drury
937611,Karan Raju,Delaware
941429,Xander Smith,Augustana College
941429,Xander Smith,Augustana College
942119,Eli Cohen,Oneonta State University
950033,Kadin Denner,University of Wisconsin-Eau Claire
968711,Mykenzie Liston,Houston
968711,Mykenzie Liston,Auburn University
971038,Ellie Johnson,Gustavus
983433,Stephen Taylor,University of California-Santa Cruz
1014096,Henry Miller,Kentucky
1077091,Christian Taylor,Virginia Wesleyan University
1077091,Christian Taylor,Youngstown St
1093649,Mason Kauffeld,Augustana College
1093649,Mason Kauffeld,Augustana College
1095825,Ashton Smith,Southern Virginia University
1131266,Chris Lee,Ramapo College of New Jersey
1131570,Maggie Wells,Colorado School of Mines
1131570,Maggie Wells,University of Nebraska at Kearney
1132196,Chloe McDonald,Purchase College
1135781,Aeson Akins,Augustana College
1135781,Aeson Akins,Augustana College
1144783,Samantha Smith,Providence College
1144783,Samantha Smith,Southern Methodist University
1145624,Hannah King,Rainey McCullers School
1156327,Joey Slish,Marywood
1160896,Ethan Hansen,St Norbert College
1163356,Anna Newman,Pomona-Pitzer Colleges
1164462,Abigail Nelson,Northern Arizona University
1165971,Tristan Burrola,Catholic University
1170472,Hannah Brockman,Rollins College
1176490,Sophia Davis,Cleveland State University
1180037,Aidan Williams,Macalester College
1180038,Katherine Lee,Baruch
1180038,Katherine Lee,Hunter
1195508,Quinn McCurry,William Jewell College
1195508,Quinn McCurry,Missouri State University
1195508,Quinn McCurry,Missouri State University
1198212,Alex Aung,Rensselaer Polytechnic Institute
1210003,Justin Lee,Boston U
1210003,Justin Lee,Stevens Institute
1211943,Alex Lee,Washington & Jefferson College
1211943,Alex Lee,Carleton
1216469,Marie-eve Hebert,University of Connecticut
1220447,Bree Anderson,San Jose St
1228696,Michael Phillips,Westminster College
1229027,Emma Hastings,Ursuline
1233179,Corbett Wilson,Missouri State University
1233179,Corbett Wilson,Missouri State University
1261211,Alondra Ortiz,California State University East Bay
1279532,Sebastian Herrera,State University of New York at Potsdam
1279532,Sebastian Herrera,State University of New York at Delhi
1297483,Owen Miller,William & Mary
